 IN_MODEL                  Unknown Client            Do not have               From File                 TIME_SERIES.DAT                                              YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.69166700000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10516                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -52.5769100000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.53319000000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                Colares (PP_000007)                                          YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -48.2971805555556                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -0.934161111111111                                           YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                Joanes (PP_000012)                                           YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -48.5072694444444                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -0.881452777777778                                           YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                Belem (PP_000001)                                            YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -48.4979110000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.39484700000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
